candidate,period,scenario,net_usd,account_return_pct,drawdown_usd,intraday_low_drawdown_usd,closed_episodes,fees_usd
sma_eth-030,recent_2026,combined,-278.74415391338334,-2.787441539133828,352.01539001820856,365.4911392233698,10,193.94630625038397
sma_eth-040,development,base,377.80303073877076,3.778030307387703,168.08060270768692,206.14197530567617,1,19.047822524628803
sma_eth-040,development,cost,370.37652378290295,3.7037652378290264,167.17720078491402,205.032663824275,1,23.743176849997003
sma_eth-040,development,delay,380.2926244585724,3.8029262445857137,167.35789599959026,205.25561372692573,1,19.067899867827204
sma_eth-040,development,combined,372.85728304532495,3.7285728304532473,166.4588838777472,204.15169184810293,1,23.768235303876004
sma_eth-040,later_2025,base,335.7537256214655,3.35753725621466,492.9290012503152,504.4486547059205,4,66.640273309036
sma_eth-040,later_2025,cost,312.10879002552065,3.121087900255204,500.920614010005,512.3774089099952,4,83.06092448797901
sma_eth-040,later_2025,delay,327.1554481174335,3.2715544811743325,497.8677562406301,509.006293074679,4,66.64244558006482
sma_eth-040,later_2025,combined,303.8511296786164,3.0385112967861616,505.9608312186065,517.0380869988785,4,83.07720276548301
sma_eth-040,recent_2026,base,227.56206615464544,2.2756206615464514,236.6004005075756,274.49358632342773,5,81.0450938921536
sma_eth-040,recent_2026,cost,198.97171804743812,1.9897171804743818,245.90437911801928,288.81306553372997,5,100.924358917863
sma_eth-040,recent_2026,delay,187.87160707292605,1.8787160707292694,252.62356934617492,269.09028317629964,5,80.6589449790784
sma_eth-040,recent_2026,combined,159.57942069517412,1.5957942069517506,272.35410500767284,288.6988700397833,5,100.444388090428
sma_eth-050,development,base,117.60045751728285,1.1760045751728176,274.5864651009797,316.32876286182363,2,32.781591945818406
sma_eth-050,development,cost,106.14534838003237,1.0614534838003342,272.9767528373486,314.4715732865516,2,40.85547238446701
sma_eth-050,development,delay,62.91610691951428,0.6291610691951499,311.7658409161504,371.47334446327113,2,32.3027221185864
sma_eth-050,development,combined,51.79099324993149,0.5179099324993164,309.9412735879687,369.29856773937536,2,40.259363855268006
sma_eth-050,later_2025,base,301.0000914621469,3.010000914621469,399.89746097442185,490.05035357119596,3,50.409781701652804
sma_eth-050,later_2025,cost,282.98084563015254,2.829808456301519,403.00520968573255,492.674668989157,3,62.827876133448015
sma_eth-050,later_2025,delay,211.00114521927935,2.1100114521927837,403.6047387713752,475.07659497058376,3,49.7046934753216
sma_eth-050,later_2025,combined,193.69330775025628,1.9369330775025562,406.80890245163573,477.8976842252723,3,61.96186053634601
sma_eth-050,recent_2026,base,133.275146560527,1.3327514656052752,338.72096671598047,355.275142933373,4,64.2518391582736
sma_eth-050,recent_2026,cost,110.8582062411624,1.1085820624116227,347.37014213286784,363.81739149710666,4,80.035585803038
sma_eth-050,recent_2026,delay,61.057235655966,0.6105723565596577,307.986662271569,366.67881034880156,4,63.651049754933595
sma_eth-050,recent_2026,combined,39.13167963109845,0.39131679631099203,322.0629966299912,375.1404699808263,4,79.28821316290201
sma_eth-060,development,base,-160.2694043273932,-1.6026940432739334,261.67251880856566,291.1200075809793,3,46.26834484579361
sma_eth-060,development,cost,-175.38407870855735,-1.75384078708557,265.41549725746154,289.4118396651902,3,57.652474614358
sma_eth-060,development,delay,-198.18861630765423,-1.9818861630765405,279.7345840069902,322.0921206569892,3,45.862177138252804
sma_eth-060,development,combined,-213.0592353955417,-2.1305923539554183,288.85479406991726,330.9637930346307,3,57.147176428942004
sma_eth-060,later_2025,base,416.68944552108223,4.166894455210812,416.5087348487359,506.66162744551,2,35.36244617532
sma_eth-060,later_2025,cost,403.66971907104744,4.03669719071047,419.65139817694035,509.3208574803648,2,44.08147109215201
sma_eth-060,later_2025,delay,450.81497432321703,4.50814974323217,443.43107697378036,514.9029331729907,2,35.6376524606824
sma_eth-060,later_2025,combined,437.6176548976273,4.376176548976263,446.42892619985287,517.5177079734895,2,44.424380402574
sma_eth-060,recent_2026,base,104.06385546525962,1.0406385546525954,265.0538922435808,282.5426200979655,4,64.2258121834392
sma_eth-060,recent_2026,cost,81.84030645533858,0.8184030645533857,276.8952865778756,296.7866181057907,4,80.002829839262
sma_eth-060,recent_2026,delay,174.72392386383035,1.7472392386383095,183.14177047679368,248.59022564923544,4,64.8259521306712
sma_eth-060,recent_2026,combined,151.99686520829528,1.519968652082948,192.74727929004257,257.77637929047705,4,80.749052765405
sma_eth-070,development,base,-72.41568336933778,-0.724156833693379,244.88420260504608,291.7829403009655,3,47.1724056110344
sma_eth-070,development,cost,-88.09411898783037,-0.8809411898783037,243.44513975865448,290.0676647392902,3,58.77724036023201
sma_eth-070,development,delay,-166.66923154477445,-1.6666923154477487,266.0449896209375,308.48700842077596,3,46.200139287476006
sma_eth-070,development,combined,-181.7414389082769,-1.817414389082772,269.86578487983206,312.05834985404,3,57.567637965676006
sma_eth-070,later_2025,base,411.4798724671764,4.114798724671753,436.71106396327923,508.20712128127707,2,35.3204339576224
